References,Qty,Description,Mouser
R1,1,1k Resistor R0402,667-ERA-2VEB1001X
R5,1,4k7 Resistor R0402,667-ERA-2VEB4701X
R3,1,9k1 Resistor R0402,667-ERJ-2RHD9101X
C1 C2,2,10uF Capacitor C0402,81-GRM155R60J106ME7D
R4,1,18k Resistor R0402,667-ERA-2AEB183X
R2,1,36k Resistor R0402,667-ERA-2ARB363X
LED1,1,LED LEDC1608X35N_FLAT-Y,604-AA1608SURSK
S1,1,Momentary Switch TACTILE_SWITCH_SMD_6.2MM_TALL,642-ADTSM63NVTR
IC3,1,ATTINY85 SOIC8,556-ATTINY85V10SU
-,1,SS495A Linear Hall Sensor TO-92-Flat-3,785-SS495A
ISP,1,ISP PinHeader 2x3 Pin Header,649-1012938190601BLF
-,2,I2C Header 1x6 Pin Header,649-78511-406
